text,label
Gemuruh Suara Asteroid yang Sedang Melintas,1
Sinyal Internet Untuk Di Berhentikan Di Seluruh Indonesia,1
Minum Air Hangat 4 Kali Sehari Dapat Menyembuhkan Covid-19,1
"Penjualan iPhone 15 Merosot, Bos Apple 'Turun Gunung'",0
"Rp 7,4 Triliun PDB Indonesia Diperoleh dari Youtube",0
Melampaui Regulasi Ekonomi Digital,0
Tangkapan Layar Berita Media Daring Berjudul Presiden Jokowi Marah Karena Kualitas Tenaga Kerja RI Masih Rendah dengan Tambahan Narasi Ini adalah salah satu faktor kenapa kami melakukan impor TKA besar-besaran dari China,1
"Eksplorasi Terbaru Joko Avianto di Continuum, Seniman yang Lihai Garap Bambu",0
PDIP Tunggu Etika Politik Gibran Kembalikan KTA,0
Tulisan Mana teriakan Saya Pancasila mu? Oleh Dr Abdul Mu ti MEd,1
Jejak Rumah Kapiten Tan Jin Sing di Kampung Ketandan Jogja,0
"Pacari Taylor Swift, Travis Kelce Terpaksa Beli Rumah Seharga Rp 95 M",0
Foto Buaya Berenang Dalam Rumah yang Terendam Banjir Setelah Badai di Florida,1
Catat Nih! 5 Kiat Kelola Keuangan bagi Pasangan Muda ala Tokopedia,0
Istana Meresmikan Bahwa PKI Diperbolehkan di Indonesia,1
Kadiv Humas Polri Ingatkan Pentingnya Jaga Persatuan demi Pemilu Damai,0
Pesan Dari Jusuf Kalla,1
Toyota Buru-buru Berbenah Lihat Mobil China-Korea Lebih Atraktif,0
"Besok Hari Terakhir Job Fair di ITB, Para Pencari Kerja Yuk Merapat",0
Le Minerale Jadi Mitra Hidrasi Jakarta Marathon 2023,0
Bos Ducati soal Bagnaia vs Martin: Sama-sama Dibayar untuk Menang,0
Ini Wajah Hacker Perusak Server KPUD Jabar,1
Gerindra soal PDIP Anggap Gibran Pembangkang: Persoalan Internal,0
Jokowi Evaluasi Pj Kepala Daerah Tiap Hari: Begitu Miring-miring Saya Ganti,0
"Samsung Galaxy Tab A9 & A9 Plus Dirilis Global, Harganya Murah",0
Jabar Sepekan: Pencarian Enuh hingga Kematian Wanita di Tangan Kekasih,0
"Megawati : Jokowi Itu Idaman Seluruh Alam, Bahkan ALIEN Saja Mau Di Pimpin Oleh Beliau.",1
"Kominfo Minta Waspadai Hoax Editan AI, Contohkan Video Jokowi Bicara Mandarin",0
IKA Universitas Negeri Makassar Bakal Undang 3 Capres Diskusi soal Demokrasi,0
"Peneliti, analis laboratorium, tidak ada yang terkena corona, perawat sedikit menjadi korban",1
"6 Legenda Futsal Terbaik Dunia, Mana Idolamu?",0
Jokowi dan Sejumlah Menteri Berkumpul Tanpa Menggunakan Masker,1
Kriteria Kapten Timnas Anies-Cak Imin Versi PKB: Seperti Lionel Messi,0
Ulama Terbesar Madura Berbondong-bondong Deklarasi Anies-Muhaimin,1
Jawaban Gibran soal Disebut Elit PDIP sebagai Pembangkang,0
Kemenristekdikti Luruskan Wacana Dosen Impor,0
FIFA RESMI BERIKAN SANKSI BERAT KE TIMNAS ISRAEL,1
Telkomsel Pastikan Keandalan Jaringan 4G/LTE-5G Jelang MotoGP Mandalika,0
"Mau Coba Lari untuk Turunkan Berat Badan? Biar Nggak Gagal, Begini Pesan Dokter",0
"Penerbangan Space-X Cuma Editan, Buktinya, Masih Ada Manusia Duduk di Pinggiran Roket Saat Peluncuran Dimulai",1
"Xiami, Jualan HP Atau Komunisme",0
"Panglima Mutasi 36 Pati TNI, Wakasal dan Pangkogabwilhan I Diganti",0
"Miliarder Ini Kritik Produktivitas Anak Muda Rendah, Usul Kerja 70 Jam Seminggu",0
Pemkot Kirim Tim Teliti Keretakan Jembatan Kaca Kampung Warna-Warni Malang,0
Lakukan 5 Hal Ini untuk Tetap Sehat Saat Cuaca Panas,0
Video Warga Austria Menentang Lockdown,1
AHY SERANG JOKOWI KELAKUAN ISTRINYA BEGINI !!,1
Jalanan Lumpuh Total Akibat Relawan Dukung Anies dalam Debat Terbuka,1
Pemprov Bali Tetapkan Status Siaga Darurat Kekeringan Selama 14 Hari,0
Baliho Ganjar-Mahfud Dicopot Jelang Kunjungan Jokowi Atas Perintah Mahendra,0
Video Selamatkan Jasad Mereka #sriwijayaairsj182,1
5 Panita Pengawas Desa di Aceh Tamiang Dipecat karena Pose Dua Jari,0
"Jurus Lama Takedown Konten Hoax, Apakah Masih Ampuh?",0
"PDIP Tampakkan Wajah, di 2024 Duet Ganjar Ahok Diumumkan Ke Publik",1
Jalan Panjang Pertamina Luncurkan Avtur Ramah Lingkungan Demi Tekan Emisi,0
"19 Kampus Bidang Teknik Terbaik di Indonesia Versi THE WUR 2024, Siapa Nomor 1?",0
"Hotel di Prancis vs Kutu Busuk, Teknologi Tingkat Tinggi Dipasang",0
Pj Gubernur Sulsel Resmi Lantik Pj Walkot Parepare dan Pj Bupati Enrekang,0
Lomba Lari Ini Ajak Peserta Olahraga Sambil Menabung untuk Haji,0
Jokowi Tengah Memperhatikan Anies yang Sedang Membaca Buku,1
"Innalilahi, Ini Pesan Wasiat Irfan Hakim Kepada Istri Dan Anak-anaknya Sebelum Meningg4l Dunia.!!",1
AHOK AKAN BELAJAR KEBIJAKAN PUBLIK KENNEDY CENTER ATAU JOHN F.KENNEDY SCHOOL OF GOVERNMENT DI HARVARD UNIVERSITY,1
Liga Ayo Antarpelajar Digelar di 4 Kota,0
"Tiga Mahasiswa UI Manfaatkan Parafin untuk Panel Surya, Patut Dicontoh!",0
"Bakrie & Brothers Kantongi Laba Bersih Rp 123 Miliar, Ini Sumbernya",0
Riadi Saputra Jadi Pembawa Bendera Indonesia di Opening Asian Para Games 2023,0
SMS Kejutan TikTok Bonus Sebesar Rp45 Juta,1
"Review Kamera Nikon Zf, Desain Retro yang Serba Bisa",0
Kejahatan Hindu India Modi terhadap seorang wanita Muslim yang membawa daging,1
Klarifikasi Humas Pemprov NTB Terkait Kabar Gurbenur Zulkifliemansyah yang Disebut Mengucapkan Selamat kepada Prabowo Sandi,0
Klarifikasi PT Schroder Terkait Isu Memberikan Dana Kampanye Untuk Sandiaga Uno,0
