text,label
gemuruh suara asteroid melintas,1
sinyal internet berhentikan indonesia,1
minum air hangat kali sehari menyembuhkan covid,1
penjualan iphone merosot bos apple turun gunung,0
rp triliun pdb indonesia diperoleh youtube,0
melampaui regulasi ekonomi digital,0
tangkapan layar berita media daring berjudul presiden jokowi marah kualitas tenaga kerja ri rendah tambahan narasi salah faktor impor tka besarbesaran china,1
eksplorasi terbaru joko avianto continuum seniman lihai garap bambu,0
pdip tunggu etika politik gibran kembalikan kta,0
tulisan teriakan pancasila mu dr abdul mu ti med,1
jejak rumah kapiten tan jin sing kampung ketandan jogja,0
pacari taylor swift travis kelce terpaksa beli rumah seharga rp m,0
foto buaya berenang rumah terendam banjir badai florida,1
catat nih kiat kelola keuangan pasangan muda ala tokopedia,0
istana meresmikan pki diperbolehkan indonesia,1
kadiv humas polri ingatkan jaga persatuan pemilu damai,0
pesan jusuf kalla,1
toyota buruburu berbenah lihat mobil chinakorea atraktif,0
besok job fair itb pencari kerja yuk merapat,0
le minerale mitra hidrasi jakarta marathon,0
bos ducati bagnaia vs martin samasama dibayar menang,0
wajah hacker perusak server kpud jabar,1
gerindra pdip anggap gibran pembangkang internal,0
jokowi evaluasi pj kepala daerah miringmiring ganti,0
samsung galaxy tab a a plus dirilis global harganya murah,0
jabar sepekan pencarian enuh kematian wanita tangan kekasih,0
megawati jokowi idaman alam alien pimpin beliau,1
kominfo waspadai hoax editan ai contohkan video jokowi bicara mandarin,0
ika universitas negeri makassar undang capres diskusi demokrasi,0
peneliti analis laboratorium terkena corona perawat korban,1
legenda futsal terbaik dunia idolamu,0
jokowi menteri berkumpul masker,1
kriteria kapten timnas aniescak imin versi pkb lionel messi,0
ulama terbesar madura berbondongbondong deklarasi aniesmuhaimin,1
gibran elit pdip pembangkang,0
kemenristekdikti luruskan wacana dosen impor,0
fifa resmi sanksi berat timnas israel,1
telkomsel pastikan keandalan jaringan glteg jelang motogp mandalika,0
coba lari turunkan berat badan biar nggak gagal pesan dokter,0
penerbangan spacex editan buktinya manusia duduk pinggiran roket peluncuran,1
xiami jualan hp komunisme,0
panglima mutasi pati tni wakasal pangkogabwilhan i diganti,0
miliarder kritik produktivitas anak muda rendah usul kerja jam seminggu,0
pemkot kirim tim teliti keretakan jembatan kaca kampung warnawarni malang,0
lakukan sehat cuaca panas,0
video warga austria menentang lockdown,1
ahy serang jokowi kelakuan istrinya,1
jalanan lumpuh total akibat relawan dukung anies debat terbuka,1
pemprov bali tetapkan status siaga darurat kekeringan,0
baliho ganjarmahfud dicopot jelang kunjungan jokowi perintah mahendra,0
video selamatkan jasad sriwijayaairsj,1
panita pengawas desa aceh tamiang dipecat pose jari,0
jurus takedown konten hoax ampuh,0
pdip tampakkan wajah duet ganjar ahok diumumkan publik,1
jalan pertamina luncurkan avtur ramah lingkungan tekan emisi,0
kampus bidang teknik terbaik indonesia versi the wur nomor,0
hotel prancis vs kutu busuk teknologi tingkat dipasang,0
pj gubernur sulsel resmi lantik pj walkot parepare pj bupati enrekang,0
lomba lari ajak peserta olahraga menabung haji,0
jokowi memperhatikan anies membaca buku,1
innalilahi pesan wasiat irfan hakim istri anakanaknya meninggl dunia,1
ahok belajar kebijakan publik kennedy center john fkennedy school of government harvard university,1
liga ayo antarpelajar digelar kota,0
mahasiswa ui manfaatkan parafin panel surya patut dicontoh,0
bakrie brothers kantongi laba bersih rp miliar sumbernya,0
riadi saputra pembawa bendera indonesia opening asian games,0
sms kejutan tiktok bonus rp juta,1
review kamera nikon zf desain retro serba,0
kejahatan hindu india modi wanita muslim membawa daging,1
klarifikasi humas pemprov ntb terkait kabar gurbenur zulkifliemansyah selamat prabowo sandi,0
klarifikasi pt schroder terkait isu dana kampanye sandiaga uno,0
air nanas panas membunuh sel kanker,1
innalillah anies baswedan menjenguk bima arya keluarga histeris,1
khutbah jumat sumpah pemuda bangkitkan jiwa persatuan,0
skpd pemkot makassar rapor merah realisasi apbd pejabat terancam dicopot,0
maruf amin aturan landasi papua provinsi olahraga digodok,0
jokowi berpidato bahasa mandarin fasih bahasa inggris,1
anies positif gagal nyapres kader nasdem indramayu ramairamai tuntut,1
pelintiran konteks foto najwa tommy soeharto,1
perang ukraina masuki babak menjelang musim dingin,0
anies baswedan setuju berduet ganjar pilpres,1
anies baswedan menandatangani kontrak pimpin jakarta syariat islam,1
dukung literasi anak guru dilatih maksimalkan buku bacaan bermutu,0
foto sby dijemput paksa brimob bersenjata lengkap,1
kebersamaan pemimpin depok robot prabowo jokowi wowi,1
ditemukan es batu,1
ahok putra tertak bangsa,1
menerka sikap pdip gibran kadernya cawapres prabowo,0
perwakilan ri mit bangun ekosistem inovasi indonesia,0
