text,label
Menpora Minta Maaf Indonesia Gagal Capai Target Asian Games 2023,0
"Spanduk Berlogo PKS dan HTI Bertuliskan #2019 Ganti Presiden, Ganti Sistem, Khilafah Islamiyah",1
"Bekal ""Strategic Foresight"" untuk Para Capres",0
Sederet Anggota Kabinet Jokowi yang Dampingi Prabowo-Gibran ke KPU,0
Penjelasan Lengkap terkait Miftahul Jannah yang Didiskualifikasi dari Asian Para Games 2018 karena Berhijab,0
Sertifikasi Halal mau di Hapus di RUU Sapu Jagat,1
Seorang Anak Meninggal Saat Bukber Karena Konsumsi Coca-Cola,1
"Lihat Langsung Kawasaki Ninja Hybrid, Setara Moge tapi Seirit Motor 250 cc",0
Jawaban Ketus Romario Soal Rumor Ancelotti Latih Brasil,0
Kevin Sanjaya Dapat Penghargaan dari PSMTI,0
"Nih yang bikin Covid, si jagoan Wall Street (Rockefeller Foundation)",1
Imbauan DJP Pati Perihal Pembayaran Pajak Virtual ke Rekening Pribadi,1
Foto anak korban vaksinasi covid,1
Puan-AHY Gantikan Ganjar Pranowo pada Pilpres 2024,1
Awan Hitam Besar Muncul Sebelum Kecelakaan Kereta di Ohio Tahun 2023,1
Kata Ganjar Soal PDIP Ditinggal Keluarga Jokowi: Banteng Enggak Cengeng!,0
Tanggal 26 Oktober Memperingati Hari Apa? Simak 5 Daftarnya,0
Seorang Pria Melempar Laptop dan Membanting Televisi Saat Menonton Wawancara Najwa dengan Presiden Jokowi,1
BUS BARU TIMNAS U-17 SETINGGI 9 METER,1
"Gemparkan 1 Indonesia, Pasangan Ganjar-Mahfud MD Di Tetapkan Di Istana Sore ini",1
Saatnya Kembali Tinggal di Jakarta! Ini Rumah dengan Clubhouse Termewah,0
Kampung Egrang Jambangan Ajak Anak-anak Lestarikan Permainan Tradisional,0
BUKTI KORUPSI ANIES DI BEBERKAN OLEH AHOK DI DEPAN PUBLIK?,1
"Pangeran Denmark Ultah ke-18 Setelah Drama Pencopotan Gelar, Pestanya Mewah",0
Breaking News: Megawati Mengundurkan Diri Dari Ketua Umum PDIP,1
"PKI Jaya TNI, Waspadalah",1
Artikel Analisis Mulyo Wibisono yang Diedarkan Kembali,1
"PDIP Apresiasi Yenny Wahid Dukung Ganjar-Mahfud, Singgung Politik Dinasti",0
Bill Gates akan meluncurkan kapsul implan manusia untuk melawan Virus Corona,1
"TPD Ganjar-Mahfud di Tana Toraja Terbentuk, Komitmen Dulang 70% Suara",0
"TUDUH GIBRAN DAN KAESANG KORUPSI, RIZAL RAMLI DAN AMIN RAIS TERANCAM DIPROSES HUKUM",1
Mayjen TNI Kunto Siap Tumpas PKI Jika Pemilu 2024 Curang,1
Seorang Pengguna Facebook Memprediksi COVID-19 Sejak 2013,1
"Infinix Zero 30 Series Rilis di Indonesia, Ini Harga dan Speknya",0
Detik detik Adian Napitulu Permalukan SBY Saat Live TV Nasional,1
Johnny G Plate: Apakah Saya Dituduh Koruptor Karena Alasan Politik?,0
Israel Ngeri Masuk Terowongan Hamas: Seperti Lawan Hantu,0
Ducati Tutup Kemungkinan Marquez Dapat Motor Spek Pabrikan: Mahal!,0
"Demo 9 Tahun Jokowi, Massa Bakar Ban di Depan Gedung DPRD Jateng",0
Saat Puan Kembali Meredam Isu Jokowi dan PDIP Memanas,0
Surat Edaran Workshop PAK dan APAK untuk Jabatan Fungsional Perencana oleh Pusbindiklatren,1
"PLN Mulai Antisipasi Gangguan saat Musim Hujan di Sulsel, Sultra, Sulbar",0
Y2K38 Komputer tidak akan bisa membedakan antara waktu nyata dengan data yang tercatat,1
Giveaway Ulang Tahun Toyota Motor Ke-80,1
Menhan Prabowo Ditekan Untuk Beli Pesawat Tempur Dari China,1
"Video Call Relawan Nakes, Ganjar Ingatkan Pentingnya Kampanye Jaga Kesehatan",0
Debat Panas Panda Nababan dan Nusron Wahid soal Petugas Partai,0
Inisial H di Nama Jokowi Ternyata Kepanjangan dari Herbertus,1
Megawati Meminta Jokowi Pecat Anggota TNI yang Razia Buku Berbau PKI,1
"ATAS PERINTAH JOKOWI, SURYA PALOH NYATAKAN MUNDUR DUKUNG ANIES",1
Anies Baswedan Telah Ditahan Selama 20 Hari,1
"Tak Pecat Gibran yang Jadi Cawapres Prabowo, Ini Alasan PDIP",0
Zulhas Ungkap Pertama Kalinya Indonesia Diundang ke Pertemuan Mendag G7,0
"Kini Sudah Ada Fasilitas Rahim Buatan, Orang Tua Bisa Memilih Karakteristik Bayinya",1
"Kebijakan PNBP 2024, Kemenkeu Fokus pada Lingkungan dan Layanan",0
Nestapa Lombok blm Berakhir laut mulai Retak2 Sudah,1
Gambar Tangkapan Layar Artikel CNBC Berjudul Kasus Google Yang Tak Bisa Menemukan IJAZAh Joko Widodo,1
"Klarifikasi BMKG Terkait Prediksi Gempa Bermagnitudo 8,2 dan Tsunami di Beberapa Daerah Jateng",0
Greysia Polii Kini Fokus Bisnis Properti hingga Sneakers,0
Pameran Seni Imersif Imagispace Hadir di Indonesia Design District PIK 2,0
Heboh Ketua DPAC PKB Dipecat karena Dukung-Pasang Baliho Gibran,0
Meta Digugat Karena Bahayakan Kesehatan Mental Pengguna Muda,0
