text,label
menpora maaf indonesia gagal capai target asian games,0
spanduk berlogo pks hti bertuliskan ganti presiden ganti sistem khilafah islamiyah,1
bekal strategic foresight capres,0
sederet anggota kabinet jokowi dampingi prabowogibran kpu,0
penjelasan lengkap terkait miftahul jannah didiskualifikasi asian games berhijab,0
sertifikasi halal hapus ruu sapu jagat,1
anak meninggal bukber konsumsi cocacola,1
lihat langsung kawasaki ninja hybrid setara moge seirit motor cc,0
ketus romario rumor ancelotti latih brasil,0
kevin sanjaya penghargaan psmti,0
nih bikin covid si jagoan wall street rockefeller foundation,1
imbauan djp pati perihal pembayaran pajak virtual rekening pribadi,1
foto anak korban vaksinasi covid,1
puanahy gantikan ganjar pranowo pilpres,1
awan hitam muncul kecelakaan kereta ohio,1
ganjar pdip ditinggal keluarga jokowi banteng cengeng,0
tanggal oktober memperingati simak daftarnya,0
pria melempar laptop membanting televisi menonton wawancara najwa presiden jokowi,1
bus timnas u meter,1
gemparkan indonesia pasangan ganjarmahfud md tetapkan istana sore,1
tinggal jakarta rumah clubhouse termewah,0
kampung egrang jambangan ajak anakanak lestarikan permainan tradisional,0
bukti korupsi anies beberkan ahok publik,1
pangeran denmark ultah drama pencopotan gelar pestanya mewah,0
breaking news megawati mengundurkan ketua pdip,1
pki jaya tni waspadalah,1
artikel analisis mulyo wibisono diedarkan,1
pdip apresiasi yenny wahid dukung ganjarmahfud singgung politik dinasti,0
bill gates meluncurkan kapsul implan manusia melawan virus corona,1
tpd ganjarmahfud tana toraja terbentuk komitmen dulang suara,0
tuduh gibran kaesang korupsi rizal ramli amin rais terancam diproses hukum,1
mayjen tni kunto tumpas pki pemilu curang,1
pengguna facebook memprediksi covid,1
infinix zero series rilis indonesia harga speknya,0
detik detik adian napitulu permalukan sby live tv nasional,1
johnny g plate dituduh koruptor alasan politik,0
israel ngeri masuk terowongan hamas lawan hantu,0
ducati tutup marquez motor spek pabrikan mahal,0
demo jokowi massa bakar ban gedung dprd jateng,0
puan meredam isu jokowi pdip memanas,0
surat edaran workshop apak jabatan fungsional perencana pusbindiklatren,1
pln antisipasi gangguan musim hujan sulsel sultra sulbar,0
yk komputer membedakan nyata data tercatat,1
giveaway ulang toyota motor,1
menhan prabowo ditekan beli pesawat tempur china,1
video call relawan nakes ganjar ingatkan kampanye jaga kesehatan,0
debat panas panda nababan nusron wahid petugas partai,0
inisial h nama jokowi kepanjangan herbertus,1
megawati jokowi pecat anggota tni razia buku berbau pki,1
perintah jokowi surya paloh nyatakan mundur dukung anies,1
anies baswedan ditahan,1
pecat gibran cawapres prabowo alasan pdip,0
zulhas kalinya indonesia diundang pertemuan mendag g,0
fasilitas rahim buatan orang tua memilih karakteristik bayinya,1
kebijakan pnbp kemenkeu fokus lingkungan layanan,0
nestapa lombok blm laut retak,1
gambar tangkapan layar artikel cnbc berjudul google menemukan ijazah joko widodo,1
klarifikasi bmkg terkait prediksi gempa bermagnitudo tsunami daerah jateng,0
greysia polii fokus bisnis properti sneakers,0
pameran seni imersif imagispace hadir indonesia design district pik,0
heboh ketua dpac pkb dipecat dukungpasang baliho gibran,0
meta digugat bahayakan kesehatan mental pengguna muda,0
prabowogibran daftar kpu gemoy muda bersatu trending x,0
alasan gibran dipecat pdip cawapres prabowo,0
kopi lemon bermanfaat diet,1
modus pencurian menyemprot bius helm pengendara roda,1
cak imin hadapi anak presiden pilpres,0
cebong ketangkap tni pake atribut pki,1
akun gerindra berandaiandai prabowo meninggal presiden,0
holding bumn danareksa bangun pengelolaan air limbah tanah ri,0
pipa laut kilang balikpapan digarap,0
wapres maruf lanjutkan kunker wamena merauke desember,0
smp n ciawi memasukkan kurikulum dansa dlm pelajaran extrakulikuler,1
wujudkan pemilu damai kaops ncs polri bagikan paket sembako tasik,0
kebugaran jasmani pengertian manfaat contoh latihannya,0
cek saldo rekening bank bri registrasi hp kk nik,1
kolom agama kosongkan,1
penjelasan kepala media center prabowo terkait pidato prabowo indonesia profesor fisika,0
